id,query,subject,expected_record_id
282,How is resurrection understood in early Christian theology?,Resurrection,ccel/s/schaff/anf01.xml:ii.ii.41-p1
283,What do the early church fathers teach about faith?,Faith,ccel/s/schaff/anf01.xml:ii.ii.48-p1
284,What does early theology say concerning patience?,Patience,ccel/s/schaff/anf01.xml:ii.ii.9-p1
285,What does early theology say concerning wisdom?,Wisdom,ccel/s/schaff/anf01.xml:ii.ii.43-p1
286,How is faith understood in early Christian theology?,Faith,ccel/s/schaff/anf01.xml:ii.ii.15-p1
287,How is sacrifice understood in early Christian theology?,Sacrifice,ccel/s/schaff/anf01.xml:ii.ii.7-p1
288,What does early theology say concerning trinity?,Trinity,ccel/s/schaff/anf01.xml:ii.ii.22-p1
289,What does early theology say concerning holiness?,Holiness,ccel/s/schaff/anf01.xml:ii.ii.12-p1
290,What do early writings reveal about idolatry?,Idolatry,ccel/s/schaff/anf01.xml:ii.ii.18-p1
291,What do the early church fathers teach about grace?,Grace,ccel/s/schaff/anf01.xml:ii.ii.22-p1
292,What do early writings reveal about pride?,Pride,ccel/s/schaff/anf01.xml:ii.ii.47-p1
293,What does early theology say concerning salvation?,Salvation,ccel/s/schaff/anf01.xml:ii.ii.4-p1
294,What do early writings reveal about virtue?,Virtue,ccel/s/schaff/anf01.xml:ii.ii.31-p1
295,How was repentance practiced in the early church?,Repentance,ccel/s/schaff/anf01.xml:ii.ii.21-p1
296,What do early writings reveal about mercy?,Mercy,ccel/s/schaff/anf01.xml:ii.ii.7-p1
297,What does early theology say concerning faithfulness?,Faithfulness,ccel/s/schaff/anf01.xml:ii.ii.37-p1
298,How was salvation practiced in the early church?,Salvation,ccel/s/schaff/anf01.xml:ii.ii.25-p1
299,What do the early church fathers teach about unity?,Unity,ccel/s/schaff/anf01.xml:ii.ii.33-p1
300,How is hope understood in early Christian theology?,Hope,ccel/s/schaff/anf01.xml:ii.ii.13-p1
